('UBD', -61676.65543648573)
('STAT1', -38835.58356057003)
('ISG15', -16006.232350317208)
('TRIM25', -7313.447633955511)
('DDX58', -6573.92277604423)
('LGALS14', -5797.599994303688)
('LYPD3', -3945.923236738221)
('GBP1', -3872.2335100139026)
('USP18', -3736.674808818003)
('NTRK1', -3312.451450671593)
('TMEM171', -3214.393245816813)
('ORC5', -3100.574705018662)
('HLA-DOA', -3081.5870494415285)
('REL', -3049.050814926857)
('USP41', -2956.1796402130276)
('HSP90AA1', -2707.3062567509187)
('MATN3', -2705.2525444060448)
('BRCA1', -2695.4861576015537)
('EIF2AK2', -2686.6529030524543)
('TCF4', -2672.7163098913734)
('FLNA', -2499.1936196863826)
('NXF1', -2444.361676467408)
('IRF1', -2425.7841363114712)
('OAS1', -2411.438312614773)
('JAK2', -2332.398496125359)
('ARNTL2', -2227.1489384174056)
('GBP3', -2140.2653469004727)
('NEFL', -2051.785940867063)
('PLEC', -2024.355255857401)
('TRIM27', -1987.9531736045901)
('ACTB', -1957.4077094702516)
('UBE2I', -1946.8127359694336)
('TRIM21', -1918.1507930177613)
('QTRT1', -1906.4980590454943)
('NLRC5', -1887.6316080484248)
('IPO9', -1871.4271626941627)
('GBP6', -1867.8080347480718)
('GSN', -1833.8394371363684)
('MX1', -1799.4373152441985)
('CCDC172', -1797.5101103604538)
('HSP90AB1', -1784.6666214782163)
('PML', -1752.272729832126)
('EGLN3', -1747.199580571847)
('HSPA8', -1718.926988967054)
('TP53', -1716.5054793480958)
('CLNS1A', -1667.2411668005516)
('PARP9', -1662.623590993433)
('CEP70', -1635.114017017855)
('ART3', -1623.8764959413384)
('SRP68', -1610.42470992147)
('GLYAT', -1599.7330639675492)
('VIM', -1597.6968851430574)
('HSPA5', -1586.377702160622)
('HIP1R', -1568.7221193859295)
('PLEK', -1562.0001356371795)
('RAE1', -1529.862736190582)
('HELZ2', -1498.5626071036677)
('RTP4', -1496.6728856346745)
('SAMD9L', -1488.9450501628453)
('IFI44', -1480.5912946194003)
('PPP2R5C', -1478.3487819695729)
('RPS7', -1475.488954721688)
('VCAM1', -1466.0451995054027)
('EEF1A1', -1456.9220618648105)
('MAGED1', -1440.4010925454495)
('CD74', -1437.129131259513)
('SUMO2', -1436.0781916780688)
('ZBP1', -1429.3165128188266)
('ACOT9', -1424.7312525397283)
('HNRNPL', -1410.52065596974)
('KIAA0586', -1394.981884851848)
('CD274', -1379.4885147863533)
('ELAVL1', -1372.4577240082144)
('MX2', -1360.8963416021725)
('IFI6', -1356.5515380100696)
('EWSR1', -1355.6088111183199)
('ACTN1', -1348.3142641457089)
('MLKL', -1340.1889743771171)
('TEX29', -1337.4683944030257)
('CD69', -1324.540269907273)
('SMARCB1', -1320.396033424564)
('HNRNPUL1', -1317.2331223758229)
('KARS', -1316.8188589120691)
('SQSTM1', -1309.0877698732947)
('DDX17', -1293.102824526548)
('APOL1', -1289.9080956344842)
('BANP', -1280.1799764633179)
('IL31RA', -1277.1127627571987)
('HLA-DPA1', -1274.1846145470627)
('RPL11', -1253.2212086886575)
('KDM1A', -1249.430463372555)
('TEX11', -1248.9203238069604)
('HSPD1', -1240.081904055638)
('CIITA', -1233.6259963138436)
('RPS9', -1228.6456044704828)
('IL4I1', -1227.6991077109997)
('PSMB9', -1216.3868338520406)
('CTSS', -1209.1328929996234)
('MCM4', -1204.4788342454412)
('WARS', -1204.0751424979535)
('BATF2', -1195.0999484981876)
('IL27', -1179.0075637527043)
('SP110', -1175.9140184706193)
('HERC6', -1170.6411754904548)
('SECTM1', -1169.2004411611997)
('RPLP0', -1159.774442404334)
('PTAFR', -1149.998452086962)
('CD38', -1148.881448864995)
('IRF2', -1144.0604239702516)
('HAPLN3', -1136.8668420347094)
('OGFR', -1135.6927019641735)
('APOL3', -1128.7899819254526)
('INSL6', -1126.140024262073)
('EXOC3L4', -1112.0093412312272)
('ILF3', -1103.8984398452158)
('DDX60', -1099.699787762831)
('IRF8', -1094.220203987701)
('CEP152', -1089.5510332236008)
('EGFR', -1089.4393344693526)
('SLFN12L', -1089.3727473635809)
('HSH2D', -1086.7510988985305)
('IRF7', -1086.6998549178243)
('HSPA1A', -1085.9933474330173)
('CCL7', -1082.779885471391)
('MDM2', -1068.5101084248163)
('KIAA1143', -1063.9378157779283)
('IKZF3', -1057.3538476099202)
('RUVBL2', -1055.0376066424942)
('SKP2', -1043.0858197097841)
('HEATR3', -1041.2681514269789)
('MYO19', -1033.439018634468)
('IFIH1', -1033.009161511407)
('PARP14', -1032.0798104834394)
('DTX3L', -1031.3296649511321)
('MCM3', -1028.5108903096698)
('TP53BP1', -1024.300278334209)
('TUBB', -1020.3756060772866)
('CSE1L', -1014.7101905777818)
('IFI35', -1012.8929225034371)
('PSMB10', -1011.2689739716006)
('TDRD7', -1005.2897319133917)
('GBP4', -995.805947522429)
('GMPR', -990.0811270158738)
('DEXI', -986.6203990554786)
('UXS1', -984.8322051932919)
('HRASLS2', -984.5240238753613)
('DUOXA2', -979.1882628170715)
('ACAN', -978.4623328001471)
('SLAMF8', -976.5595478082541)
('SP100', -972.5740159374836)
('SLC15A3', -971.5048357606574)
('RNF123', -969.5750981348392)
('SMTNL1', -968.742872560455)
('IFIT5', -967.941645362007)
('RPS5', -957.196151250042)
('TUBB4B', -956.7339154710353)
('ZNF346', -951.1759106750542)
('HDAC6', -942.886608927307)
('DAPP1', -939.827603220212)
('EFTUD2', -938.1438330540841)
('TNFAIP6', -932.8561803523917)
('BCAP29', -923.715517743607)
('UBE2L6', -913.0600653067813)
('EPSTI1', -912.376158036408)
('LTA', -911.5850198952539)
('RBCK1', -909.5108500954229)
('PRPF8', -906.5794289555633)
('STX5', -890.4971203843306)
('SLC16A9', -881.6358184473938)
('RARRES3', -879.2382187054609)
('COG6', -878.5195096485259)
('RNF213', -878.1345765168953)
('LAP3', -877.988986077311)
('FUS', -876.5628919091541)
('FBXO6', -876.5035621347488)
('EP300', -874.1895085326105)
('TRIM28', -873.655355885945)
('VCP', -868.3437284920074)
('HNRNPM', -864.895543520659)
('AIM2', -864.7068136317248)
('AXDND1', -853.6787029630505)
('NXT1', -850.5370770762675)
('CD48', -847.4582023369148)
('PSMB8', -846.0128735932813)
('NCL', -838.1743717608042)
('SIGLEC1', -831.8184013309947)
('RELA', -831.124364094343)
('PLSCR2', -828.2797079573502)
('KCTD7', -828.0251133599086)
('CAT', -822.0339303445071)
('RNF4', -817.8772646592406)
('XRCC6', -816.7053951290727)
('ETV7', -816.2229600782739)
('XAGE1B', -815.4596602633246)
('IFI44L', -812.6707763000159)
('ENO1', -804.5638097122428)
('ANKFY1', -801.3272694012558)
('TRIP13', -797.412192902586)
('IFI27', -791.2999965497293)
('PARP12', -782.9718280675588)
('UNC93B1', -778.0709580975526)
('PARP10', -762.9811985967972)
('XAF1', -762.5786510602629)
('TRIM14', -759.34176964176)
('C16ORF45', -753.8123989102605)
('NMI', -748.1943217231601)
('TNK2', -748.1500407904095)
('RMI2', -746.0743941635592)
('ANKRD22', -745.0549025462533)
('PTN', -743.6391843515448)
('TLR8', -739.4458606486442)
('AAR2', -733.6046271205414)
('HERC5', -731.6162240367266)
('TRAFD1', -727.0443381001533)
('DDX5', -724.3410850363434)
('SLC27A2', -723.6986525181273)
('SOCS3', -722.374869017076)
('CDC42EP4', -719.338938790519)
('ESR2', -717.5575303008663)
('FBP1', -714.1068053927447)
('IL15', -712.1976496897696)
('XPO1', -711.7601696399797)
('ASPHD2', -708.9346427530108)
('CMAHP', -708.3761221066525)
('LMO2', -707.6916222584259)
('KPNA2', -694.7738110949285)
('BST2', -693.5212042880012)
('PCNA', -684.0764698514249)
('SSBP2', -675.3695632999006)
('ECPAS', -671.3161434697395)
('ZMAT4', -668.8399575809599)
('ZBTB1', -665.8081857911893)
('PRKRA', -660.7783366195508)
('COL4A3BP', -656.6818195863452)
('TNFSF13B', -655.6359526072338)
('UBE3A', -654.1355721674045)
('CCL2', -653.9742889628687)
('YIPF6', -643.2375917163736)
('MSN', -632.5890729962557)
('TSG101', -630.0292704788735)
('TRIM69', -626.6411076920631)
('MUC1', -625.0825738296844)
('KRT14', -623.6318880947947)
('CFH', -622.5428940377606)
('ELP4', -621.6665253881365)
('SRPK2', -619.7489577769011)
('GBP2', -618.8041759495391)
('MTCH2', -611.2905915670854)
('INTS5', -607.3856342908402)
('VAMP5', -607.3241682419612)
('SDCBP2', -605.6226936681778)
('COPG1', -604.0086856494308)
('MRI1', -601.4043703892676)
('XPO7', -595.3445758086746)
('UROS', -589.4903013396251)
('XRCC5', -585.363125929347)
('UBA1', -584.2711741808162)
('CRYAB', -582.4470764234429)
('KANK2', -579.8995557430317)
('RAB34', -576.8980415362457)
('NFIC', -576.5675283170422)
('TTC12', -570.4443498460168)
('APOL2', -568.6773593332327)
('LY6E', -564.7407365195977)
('C7', -563.5221594442846)
('CAPRIN1', -560.3800734275719)
('CFTR', -559.6470988654764)
('CBS', -549.8970073460368)
('RNF5', -541.0800967678952)
('CDK15', -535.7703513779561)
('LYPLA1', -530.1270296621951)
('TNFSF10', -527.553865177877)
('FTH1', -526.9285840386583)
('CTLA4', -526.3167743741942)
('MCM5', -524.901395716588)
('SAMD9', -524.3494202944275)
('CHMP6', -523.4584232214256)
('TYMP', -521.6400470269145)
('BRD8', -521.3824240799586)
('ZMAT3', -518.7187572113762)
('DDX60L', -514.1081479644636)
('PLAC8', -514.0822689200577)
('XRN1', -511.4405261023494)
('STYK1', -508.60106391081354)
('TESK2', -507.27618312681443)
('C1ORF94', -503.0541355982714)
('ANXA10', -496.286631957948)
('PLSCR1', -492.80187598150223)
('USHBP1', -489.00173693013494)
