('UBD', -61687.45262559796)
('STAT1', -38846.380749682256)
('ISG15', -16017.029539429437)
('TRIM25', -7324.24482306774)
('DDX58', -6584.719965156459)
('LGALS14', -5808.3971834159165)
('LYPD3', -3956.72042585045)
('GBP1', -3883.0306991261314)
('USP18', -3747.4719979302317)
('NTRK1', -3323.248639783822)
('TMEM171', -3225.1904349290417)
('ORC5', -3111.3718941308907)
('HLA-DOA', -3092.3842385537573)
('REL', -3059.848004039086)
('USP41', -2966.9768293252564)
('HSP90AA1', -2718.1034458631475)
('MATN3', -2716.0497335182736)
('BRCA1', -2706.2833467137825)
('EIF2AK2', -2697.450092164683)
('TCF4', -2683.513499003602)
('FLNA', -2509.9908087986114)
('NXF1', -2455.1588655796368)
('IRF1', -2436.5813254237)
('OAS1', -2422.235501727002)
('JAK2', -2343.195685237588)
('ARNTL2', -2237.9461275296344)
('GBP3', -2151.0625360127015)
('NEFL', -2062.5831299792917)
('PLEC', -2035.1524449696299)
('TRIM27', -1998.750362716819)
('ACTB', -1968.2048985824804)
('UBE2I', -1957.6099250816624)
('TRIM21', -1928.9479821299901)
('QTRT1', -1917.295248157723)
('NLRC5', -1898.4287971606536)
('IPO9', -1882.2243518063915)
('GBP6', -1878.6052238603006)
('GSN', -1844.6366262485972)
('MX1', -1810.2345043564274)
('CCDC172', -1808.3072994726826)
('HSP90AB1', -1795.463810590445)
('PML', -1763.0699189443549)
('EGLN3', -1757.9967696840758)
('HSPA8', -1729.7241780792829)
('TP53', -1727.3026684603246)
('CLNS1A', -1678.0383559127804)
('PARP9', -1673.4207801056618)
('CEP70', -1645.9112061300839)
('ART3', -1634.6736850535672)
('SRP68', -1621.2218990336987)
('GLYAT', -1610.530253079778)
('VIM', -1608.4940742552863)
('HSPA5', -1597.1748912728508)
('HIP1R', -1579.5193084981584)
('PLEK', -1572.7973247494083)
('RAE1', -1540.6599253028107)
('HELZ2', -1509.3597962158965)
('RTP4', -1507.4700747469033)
('SAMD9L', -1499.742239275074)
('IFI44', -1491.388483731629)
('PPP2R5C', -1489.1459710818017)
('RPS7', -1486.2861438339169)
('VCAM1', -1476.8423886176315)
('EEF1A1', -1467.7192509770393)
('MAGED1', -1451.1982816576783)
('CD74', -1447.926320371742)
('SUMO2', -1446.8753807902976)
('ZBP1', -1440.1137019310554)
('ACOT9', -1435.528441651957)
('HNRNPL', -1421.3178450819687)
('KIAA0586', -1405.7790739640768)
('CD274', -1390.2857038985821)
('ELAVL1', -1383.2549131204432)
('MX2', -1371.6935307144013)
('IFI6', -1367.3487271222984)
('EWSR1', -1366.4060002305487)
('ACTN1', -1359.1114532579377)
('MLKL', -1350.986163489346)
('TEX29', -1348.2655835152545)
('CD69', -1335.3374590195017)
('SMARCB1', -1331.1932225367927)
('HNRNPUL1', -1328.0303114880517)
('KARS', -1327.616048024298)
('SQSTM1', -1319.8849589855236)
('DDX17', -1303.9000136387767)
('APOL1', -1300.705284746713)
('BANP', -1290.9771655755467)
('IL31RA', -1287.9099518694275)
('HLA-DPA1', -1284.9818036592915)
('RPL11', -1264.0183978008863)
('KDM1A', -1260.227652484784)
('TEX11', -1259.7175129191892)
('HSPD1', -1250.8790931678668)
('CIITA', -1244.4231854260725)
('RPS9', -1239.4427935827116)
('IL4I1', -1238.4962968232285)
('PSMB9', -1227.1840229642694)
('CTSS', -1219.9300821118522)
('MCM4', -1215.27602335767)
('WARS', -1214.8723316101823)
('BATF2', -1205.8971376104164)
('IL27', -1189.804752864933)
('SP110', -1186.7112075828481)
('HERC6', -1181.4383646026836)
('SECTM1', -1179.9976302734285)
('RPLP0', -1170.5716315165628)
('PTAFR', -1160.7956411991909)
('CD38', -1159.6786379772238)
('IRF2', -1154.8576130824804)
('HAPLN3', -1147.6640311469382)
('OGFR', -1146.4898910764023)
('APOL3', -1139.5871710376814)
('INSL6', -1136.9372133743018)
('EXOC3L4', -1122.806530343456)
('ILF3', -1114.6956289574446)
('DDX60', -1110.4969768750598)
('IRF8', -1105.01739309993)
('CEP152', -1100.3482223358296)
('EGFR', -1100.2365235815814)
('SLFN12L', -1100.1699364758097)
('HSH2D', -1097.5482880107593)
('IRF7', -1097.497044030053)
('HSPA1A', -1096.7905365452461)
('CCL7', -1093.5770745836198)
('MDM2', -1079.307297537045)
('KIAA1143', -1074.7350048901571)
('IKZF3', -1068.151036722149)
('RUVBL2', -1065.834795754723)
('SKP2', -1053.883008822013)
('HEATR3', -1052.0653405392077)
('MYO19', -1044.236207746697)
('IFIH1', -1043.8063506236358)
('PARP14', -1042.8769995956682)
('DTX3L', -1042.126854063361)
('MCM3', -1039.3080794218986)
('TP53BP1', -1035.0974674464378)
('TUBB', -1031.1727951895155)
('CSE1L', -1025.5073796900106)
('IFI35', -1023.690111615666)
('PSMB10', -1022.0661630838295)
('TDRD7', -1016.0869210256205)
('GBP4', -1006.6031366346579)
('GMPR', -1000.8783161281026)
('DEXI', -997.4175881677074)
('UXS1', -995.6293943055207)
('HRASLS2', -995.3212129875901)
('DUOXA2', -989.9854519293003)
('ACAN', -989.2595219123759)
('SLAMF8', -987.356736920483)
('SP100', -983.3712050497124)
('SLC15A3', -982.3020248728862)
('RNF123', -980.372287247068)
('SMTNL1', -979.5400616726838)
('IFIT5', -978.7388344742358)
('RPS5', -967.9933403622708)
('TUBB4B', -967.5311045832641)
('ZNF346', -961.973099787283)
('HDAC6', -953.6837980395358)
('DAPP1', -950.6247923324408)
('EFTUD2', -948.9410221663129)
('TNFAIP6', -943.6533694646205)
('BCAP29', -934.5127068558359)
('UBE2L6', -923.8572544190101)
('EPSTI1', -923.1733471486368)
('LTA', -922.3822090074827)
('RBCK1', -920.3080392076517)
('PRPF8', -917.3766180677922)
('STX5', -901.2943094965594)
('SLC16A9', -892.4330075596226)
('RARRES3', -890.0354078176897)
('COG6', -889.3166987607547)
('RNF213', -888.9317656291241)
('LAP3', -888.7861751895398)
('FUS', -887.3600810213829)
('FBXO6', -887.3007512469776)
('EP300', -884.9866976448393)
('TRIM28', -884.4525449981738)
('VCP', -879.1409176042362)
('HNRNPM', -875.6927326328878)
('AIM2', -875.5040027439536)
('AXDND1', -864.4758920752793)
('NXT1', -861.3342661884963)
('CD48', -858.2553914491436)
('PSMB8', -856.8100627055101)
('NCL', -848.971560873033)
('SIGLEC1', -842.6155904432235)
('RELA', -841.9215532065718)
('PLSCR2', -839.076897069579)
('KCTD7', -838.8223024721374)
('CAT', -832.8311194567359)
('RNF4', -828.6744537714694)
('XRCC6', -827.5025842413015)
('ETV7', -827.0201491905027)
('XAGE1B', -826.2568493755534)
('IFI44L', -823.4679654122447)
('ENO1', -815.3609988244716)
('ANKFY1', -812.1244585134846)
('TRIP13', -808.2093820148148)
('IFI27', -802.0971856619581)
('PARP12', -793.7690171797876)
('UNC93B1', -788.8681472097815)
('PARP10', -773.778387709026)
('XAF1', -773.3758401724917)
('TRIM14', -770.1389587539888)
('C16ORF45', -764.6095880224893)
('NMI', -758.9915108353889)
('TNK2', -758.9472299026384)
('RMI2', -756.871583275788)
('ANKRD22', -755.8520916584821)
('PTN', -754.4363734637736)
('TLR8', -750.243049760873)
('AAR2', -744.4018162327702)
('HERC5', -742.4134131489554)
('TRAFD1', -737.8415272123821)
('DDX5', -735.1382741485722)
('SLC27A2', -734.4958416303562)
('SOCS3', -733.1720581293048)
('CDC42EP4', -730.1361279027478)
('ESR2', -728.3547194130952)
('FBP1', -724.9039945049735)
('IL15', -722.9948388019984)
('XPO1', -722.5573587522085)
('ASPHD2', -719.7318318652397)
('CMAHP', -719.1733112188813)
('LMO2', -718.4888113706547)
('KPNA2', -705.5710002071573)
('BST2', -704.31839340023)
('PCNA', -694.8736589636537)
('SSBP2', -686.1667524121294)
('ECPAS', -682.1133325819683)
('ZMAT4', -679.6371466931887)
('ZBTB1', -676.6053749034181)
('PRKRA', -671.5755257317796)
('COL4A3BP', -667.479008698574)
('TNFSF13B', -666.4331417194626)
('UBE3A', -664.9327612796333)
('CCL2', -664.7714780750975)
('YIPF6', -654.0347808286024)
('MSN', -643.3862621084845)
('TSG101', -640.8264595911023)
('TRIM69', -637.4382968042919)
('MUC1', -635.8797629419132)
('KRT14', -634.4290772070235)
('CFH', -633.3400831499894)
('ELP4', -632.4637145003653)
('SRPK2', -630.5461468891299)
('GBP2', -629.6013650617679)
('MTCH2', -622.0877806793142)
('INTS5', -618.182823403069)
('VAMP5', -618.12135735419)
('SDCBP2', -616.4198827804066)
('COPG1', -614.8058747616597)
('MRI1', -612.2015595014964)
('XPO7', -606.1417649209034)
('UROS', -600.287490451854)
('XRCC5', -596.1603150415758)
('UBA1', -595.068363293045)
('CRYAB', -593.2442655356717)
('KANK2', -590.6967448552605)
('RAB34', -587.6952306484745)
('NFIC', -587.364717429271)
('TTC12', -581.2415389582457)
('APOL2', -579.4745484454616)
('LY6E', -575.5379256318265)
('C7', -574.3193485565134)
('CAPRIN1', -571.1772625398007)
('CFTR', -570.4442879777052)
('CBS', -560.6941964582657)
('RNF5', -551.877285880124)
('CDK15', -546.5675404901849)
('LYPLA1', -540.9242187744239)
('TNFSF10', -538.3510542901058)
('FTH1', -537.7257731508871)
('CTLA4', -537.113963486423)
('MCM5', -535.6985848288168)
('SAMD9', -535.1466094066564)
('CHMP6', -534.2556123336544)
('TYMP', -532.4372361391434)
('BRD8', -532.1796131921874)
('ZMAT3', -529.515946323605)
('DDX60L', -524.9053370766924)
('PLAC8', -524.8794580322865)
('XRN1', -522.2377152145782)
('STYK1', -519.3982530230423)
('TESK2', -518.0733722390432)
('C1ORF94', -513.8513247105002)
('ANXA10', -507.0838210701768)
('PLSCR1', -503.59906509373104)
('USHBP1', -499.79892604236375)
('LACTB', -497.53075452218764)
('DAZAP2', -495.2125397170021)
('LGALS9C', -484.25401824351866)
('CAMSAP3', -483.0264709475741)
('PIAS1', -479.3019615955418)
('LMNA', -474.6147136108775)
('HOOK1', -473.86386004980886)
('UCN', -471.9173903836054)
