Gene	JD-MD_EP-WT3_NEY922A14-9_S38	JD-MD_EP-WT2_NEY922A14-8_S37	JD-MD_EP-WT1_NEY922A14-7_S36	JD-MD_EP-KO4_NEY922A14-14_S6	JD-MD_EP-KO3_NEY922A14-13_S5	JD-MD_EP-KO2_NEY922A14-12_S4	JD-MD_EP-KO1_NEY922A14-11_S3
Pip4k2b	811	336	794	748	1193	1579	1174
Pip4k2c	1998	1408	1960	2022	3529	4166	3234
Pip5k1a	1220	879	1284	1036	1910	2473	1891
Pip5k1b	2	0	2	3	6	3	2
Pip5k1c	5720	2989	5473	4762	7678	10205	7373
Pip5kl1	0	0	0	0	0	1	0
Pipox	0	0	0	1	0	0	0
Pir	247	311	221	210	646	537	477
Pira1	112	35	78	38	134	309	152
Pira2	114	53	88	120	159	219	195
Pira6	1111	631	993	806	1806	2288	1731
Pirb	4487	4838	4662	4354	7802	8432	6428
Pirt	0	0	0	0	0	0	0
Pisd	1657	1473	1720	1537	2859	3230	2367
Pisd-ps1	60	45	50	87	181	268	204
Pisd-ps2	8	3	12	10	25	19	11
Pisd-ps3	990	726	954	2120	4258	5599	4218
Pithd1	502	877	469	514	1018	908	663
Pitpna	11506	13403	11877	9666	16702	18134	14113
Pitpnb	1288	1311	1277	1035	2019	2118	1710
Pitpnc1	290	218	251	173	339	431	310
Pitpnm1	2834	2189	2958	2455	3965	5058	3653
Pitpnm2	14	3	10	19	18	28	17
Pitpnm2os1	0	0	0	0	0	0	1
Pitpnm3	1	3	3	2	1	2	3
Pitrm1	1143	928	999	942	1684	1867	1603
Pitx1	0	0	0	0	0	0	1
Pitx2	0	0	0	0	0	0	0
Pitx3	0	0	0	0	0	0	0
Piwil1	0	0	0	0	0	0	0
Piwil2	295	204	362	355	567	653	551
Piwil4	0	0	2	4	1	5	1
Pja1	243	170	216	202	376	441	341
Pja2	968	513	989	751	1376	2007	1515
Pkd1	959	322	734	738	1258	1971	1370
Pkd1l1	0	0	0	2	0	0	0
Pkd1l2	5	2	8	2	6	19	17
Pkd1l3	9	7	3	3	6	3	1
Pkd2	442	215	439	413	635	873	641
Pkd2l1	1	2	0	0	0	0	1
Pkd2l2	10	13	8	8	12	10	8
Pkdcc	14	13	22	8	57	57	40
Pkdrej	0	0	0	0	0	0	0
Pkhd1	2	14	1	6	0	2	1
Pkhd1l1	5	3	1	1	1	1	3
Pkia	0	1	0	0	0	0	1
Pkib	617	687	612	478	1056	1104	908
Pkig	420	614	378	466	851	820	569
Pklr	0	0	0	0	0	0	0
Pkm	16787	16105	17344	17226	36350	36647	30488
Pkmyt1	458	576	445	341	587	451	368
Pkn1	4409	2568	4198	3646	6493	7850	6127
Pkn2	833	495	988	720	1300	1822	1382
Pkn3	76	58	55	50	101	118	94
Pknox1	418	251	476	287	576	797	595
Pknox2	1	1	0	4	6	6	3
Pkp1	0	0	0	0	0	0	0
Pkp2	7	5	7	9	30	40	11
Pkp3	2	1	1	17	8	13	9
Pkp4	568	456	531	483	805	1012	787
Pla1a	40	22	21	35	54	82	52
Pla2g10	0	0	0	0	0	0	0
Pla2g10os	0	0	0	0	0	0	0
Pla2g12a	172	221	144	278	463	408	340
Pla2g12b	0	0	0	0	0	0	0
Pla2g15	4657	4417	4711	5569	9606	9882	7871
Pla2g16	513	963	503	904	1812	1630	1314
Pla2g1b	0	0	0	0	0	0	0
Pla2g2a	0	0	0	0	0	0	0
Pla2g2c	0	0	0	0	0	0	0
Pla2g2d	10	1	0	16	29	59	22
Pla2g2e	0	1	0	0	2	1	3
Pla2g2f	0	0	0	0	0	0	0
Pla2g3	4	0	0	2	1	0	0
Pla2g4a	939	718	942	960	1773	2220	1773
Pla2g4b	0	0	0	0	0	0	0
Pla2g4c	9	4	2	7	11	1	10
Pla2g4c-ps	0	0	0	0	0	0	0
Pla2g4d	1	0	3	0	1	2	0
Pla2g4e	0	0	4	1	0	3	4
Pla2g4f	3	1	1	3	1	4	8
Pla2g5	0	0	0	0	0	1	0
Pla2g6	340	211	309	321	586	605	468
Pla2g7	455	485	511	478	1390	1262	1254
Pla2r1	0	0	0	1	2	0	0
Plaa	1440	1275	1587	1269	2561	2991	2707
Plac1	0	0	0	0	0	0	0
Plac8	3	6	10	5	0	3	15
Plac8l1	0	0	0	0	0	0	0
Plac9a	0	0	0	0	0	0	0
Plac9b	0	0	0	0	0	0	0
Plag1	27	29	24	28	35	45	35
Plagl1	7	1	16	3	7	14	14
Plagl2	2200	1601	2584	1865	3068	4045	3143
Plat	131	149	195	101	158	172	109
Platr10	0	3	0	1	1	0	1
Platr11	0	0	0	0	0	0	0
Platr14	2	0	0	3	1	0	1
Platr17	11	24	14	7	19	10	14
Platr20	0	4	0	0	1	0	0
Platr21	0	3	0	2	3	0	0
Platr22	0	4	0	0	0	0	0
Platr25	14	0	0	2	1	5	3
Platr26	0	0	0	0	0	0	0
Platr27	0	8	4	0	1	3	0
Platr3	0	0	0	0	0	0	0
Platr30	0	0	0	0	0	0	0
Platr4	0	0	0	0	0	0	0
Platr5	0	0	0	0	0	0	0
Platr6	0	1	0	1	0	0	2
Platr7	0	0	0	0	1	0	0
Platr8	0	0	0	0	1	0	0
Platr9	0	0	0	1	0	0	0
Plau	1462	1354	1307	1954	4042	3974	3572
Plaur	12696	14068	14068	11192	18524	18825	14153
Plb1	0	0	0	3	0	3	1
Plbd1	180	67	77	303	692	885	694
Plbd2	1363	738	1253	1279	2234	2681	2121
Plcb1	542	277	450	563	613	980	744
Plcb2	4903	2857	5552	5766	9550	12292	9615
Plcb3	1020	614	993	869	1264	1616	1161
Plcb4	11	2	10	4	12	3	7
Plcd1	336	192	219	213	363	394	235
Plcd3	4	0	1	5	4	16	8
Plcd4	5	2	0	2	3	0	0
Plce1	3	6	3	11	19	26	14
Plcg1	321	126	290	342	547	720	589
Plcg2	4951	3138	5233	3748	6151	7712	5700
Plch1	5	0	1	0	3	0	2
Plch2	3	1	5	0	1	0	2
Plcl1	56	60	89	21	42	45	48
Plcl2	1307	1424	1179	1085	2088	2349	1739
Plcxd1	11	10	12	10	11	16	20
Plcxd2	25	7	25	20	42	56	42
Plcxd3	0	0	0	0	2	0	0
Plcz1	0	0	0	0	0	0	0
Pld1	851	520	816	625	1169	1620	1106
Pld2	2337	1658	2567	1881	3059	3739	2764
Pld3	19701	17702	19167	18822	35989	37824	29731
Pld4	5916	6692	6489	3707	6530	7263	5743
Pld5	0	0	0	0	1	0	1
Pld6	0	0	0	0	1	0	0
Pldi	0	0	0	0	0	0	0
Plec	12270	3606	11638	8247	13300	20644	16192
Plek	83870	76193	97056	64641	104842	130329	101001
Plek2	4	5	2	3	17	17	8
Plekha1	1187	867	1217	1144	2004	2513	2052
Plekha2	1688	1468	1588	1611	2927	3522	2643
Plekha3	459	296	387	499	814	978	713
Plekha4	0	1	4	6	5	11	8
Plekha5	51	32	40	20	66	87	43
Plekha6	128	38	86	46	74	122	106
Plekha7	4	4	11	9	23	19	14
Plekha8	157	134	155	195	320	371	310
Plekhb1	0	0	0	0	10	5	7
Plekhb2	4943	4161	5051	4798	8929	10209	7993
Plekhd1	0	4	1	1	4	3	4
Plekhd1os	0	0	0	0	0	0	0
Plekhf1	9	11	2	5	21	20	15
Plekhf2	1177	1038	1075	956	1904	2030	1662
Plekhg1	2850	1207	3040	2837	4725	6941	5970
Plekhg2	107	54	97	63	158	210	172
Plekhg3	464	293	386	454	731	1015	570
Plekhg4	2	1	3	1	12	5	3
Plekhg5	21	15	19	27	50	53	52
Plekhg6	0	0	1	0	2	0	1
Plekhh1	5	2	13	3	7	6	3
Plekhh2	1	2	4	1	1	8	2
Plekhh3	53	49	36	40	97	96	103
Plekhj1	673	1093	741	719	1285	1187	862
Plekhm1	1979	1078	2060	2324	4092	4869	4473
Plekhm2	2571	1677	2499	2510	4881	5687	4795
Plekhm3	2026	972	2094	1849	3220	4240	3653
Plekhn1	180	81	191	178	316	521	352
Plekho1	329	345	337	398	1020	871	793
Plekho2	17360	10452	19319	14641	23537	31426	23485
Plekhs1	2	4	0	3	2	1	0
Plet1	70197	89631	82747	71687	106997	124423	85595
Plet1os	416	357	436	372	472	492	323
Plg	0	0	0	0	0	0	0
Plgrkt	1596	2218	1694	1444	2862	2947	2276
Plin1	54	66	82	28	49	66	55
Plin2	17226	17926	19467	22534	38972	40713	33342
Plin3	2202	2215	2314	2374	4386	4801	3812
Plin4	1	0	1	0	7	4	1
Plin5	0	0	0	0	1	0	0
Plk1	124	93	147	176	224	227	128
Plk2	1665	1884	2840	1974	4545	5262	5176
Plk3	5256	4026	5654	5999	9499	10363	8398
Plk4	419	307	395	259	508	626	450
Plk5	0	0	0	0	0	0	0
Pllp	1	0	0	0	0	0	0
Pln	0	0	0	0	0	0	0
Plod1	1675	1204	1784	1802	3172	3566	2792
Plod2	16	1	0	14	16	33	19
Plod3	5467	4593	5436	5062	8305	8983	6381
Plp1	2	1	1	2	1	1	0
Plp2	891	706	804	890	1535	1827	1269
Plpp1	336	335	352	317	692	778	621
Plpp2	138	219	162	229	388	326	265
Plpp3	147	117	208	610	1203	1582	1349
Plpp4	0	0	0	0	0	0	0
Plpp5	252	202	276	249	428	494	361
Plpp6	92	151	124	86	211	203	144
Plpp7	4	6	1	3	7	3	1
Plppr1	0	0	0	0	0	0	0
Plppr2	39	17	28	24	51	59	34
Plppr3	5	4	11	4	12	7	13
Plppr4	2	2	0	5	6	6	7
Plppr5	0	0	0	0	0	0	0
Plrg1	743	1090	962	721	1484	1441	1191
Pls1	5	1	4	9	6	6	2
Pls3	204	152	238	345	598	785	519
Plscr1	3573	4488	3926	3785	6369	6629	4968
Plscr2	11	3	6	2	8	9	7
Plscr3	253	213	205	342	687	706	581
Plscr4	173	82	119	175	297	365	310
Plscr5	9	2	0	3	1	1	3
Pltp	3049	2647	3048	4564	7384	7554	5859
Plvap	0	0	0	2	0	2	0
