TF	Gene
IRF4	USF1
IRF5	USF1
IRF7	USF1
IRF3	USF1
IRF2	USF1
IRF6	USF1
IRF8	USF1
IRF9	USF1
IRF1	USF1
STAT3	SMCR7L
ELK1	SMCR7L
GATA1	RAC2
ETS2	RAC2
FOXO3B	HERC1
MEF2A	HERC1
FOXO3	HERC1
NRF1	CCDC86
CEBPA	IL10RB
STAT1	IL10RB
TLX1	IL10RB
NFIC	IL10RB
ETS2	ARHGAP18
MTF1	TIMM10
HOXC6	TYK2
PBX3	TYK2
PKNOX1	TYK2
PBX1	TYK2
HOXB1	TYK2
PDX1	TYK2
PBX2	TYK2
HOXB7	TYK2
HOXB8	TYK2
TBP	SLC7A3
IRF4	CCDC109B
IRF5	CCDC109B
IRF7	CCDC109B
IRF3	CCDC109B
IRF2	CCDC109B
IRF6	CCDC109B
IRF8	CCDC109B
ARID5B	CCDC109B
ESR1	CCDC109B
IRF1	CCDC109B
DSP	FANCC
PBX1	FANCC
ZBTB16	PPP1R14C
NFATC2	TM9SF2
NFATC4	TM9SF2
NFATC1	TM9SF2
NFATC3	TM9SF2
ARNT	TM9SF2
HSF1	TM9SF2
XBP1	TM9SF2
E2F1	DNMT3A
BACH2	DNMT3A
NRF1	DNMT3A
MAF	DNMT3A
MAFB	DNMT3A
NFE2L3	DNMT3A
NF1	DNMT3A
MAFG	DNMT3A
NFE2	DNMT3A
MEF2A	DNMT3A
GABPA	DNMT3A
NFE2L1	DNMT3A
BACH1	DNMT3A
TFEB	DNMT3A
MAFK	DNMT3A
TFAP2C	DNMT3A
MITF	DNMT3A
XBP1	DNMT3A
TCF3	DNMT3A
TFAP2A	DNMT3A
TFE3	DNMT3A
TFAP2B	DNMT3A
MAFF	DNMT3A
SRF	ARHGEF19
SOX5	WDR16
ALX1	WDR16
SRY	WDR16
TBP	WDR16
CUX1	THUMPD1
GLI3	HPCAL1
SP1	HPCAL1
SP2	HPCAL1
SP4	HPCAL1
RUNX3	HPCAL1
RUNX1	HPCAL1
SP3	HPCAL1
RUNX2	HPCAL1
RORA	HPCAL1
GLI1	HPCAL1
ZEB1	HPCAL1
GLI2	HPCAL1
BPTF	HPCAL1
NKX2-2	GIGYF2
ARNT	GIGYF2
SRF	AIF1L
CUX1	AIF1L
CUX1	KLK15
HSF1	MUM1
NR2F2	SULT1A4
HNF4A	SULT1A4
PPARA	SULT1A4
HNF4G	SULT1A4
RXRA	SULT1A4
NR2F1	SULT1A4
NR1H2	SULT1A4
PPARG	SULT1A4
TBX5	MRPL3
AIRE	DMD
ZNF219	BMP2K
PAX5	BMP2K
ELK1	UNC50
TP53	DSE
NR1I2	TSNARE1
SREBF1	TSNARE1
RXRA	TSNARE1
CASR	TSNARE1
VDR	TSNARE1
RXRB	TSNARE1
YY1	RPF2
CUX1	RPF2
PBX1	ZNF609
PDX1	ZNF609
HOXC6	NGEF
PBX3	NGEF
PKNOX1	NGEF
RFX1	NGEF
PBX1	NGEF
HOXB1	NGEF
PDX1	NGEF
PBX2	NGEF
HOXB7	NGEF
HOXB8	NGEF
PAX5	KDM5A
TEAD1	KDM5A
CD40	KIAA1407
NFKB1	KIAA1407
FKBP4	KIAA1407
NR3C1	KIAA1407
REST	LHX3
POU2F1	KLRAP1
NR1I2	ARHGEF37
NF1	ARHGEF37
RXRA	ARHGEF37
CASR	ARHGEF37
VDR	ARHGEF37
RXRB	ARHGEF37
PPARG	LNX1
E2F1	RRP7A
DSP	RRP7A
POU3F2	FAF2
ZNF350	PDK4
NRF1	ZNF652
VSX2	ZNF652
LHX3	ZNF652
CDX1	ZNF652
CDX2	ZNF652
FOXO1	ZNF652
BPTF	ZNF652
PPARG	FAM50B
NKX3-1	TES
LEF1	TES
HNF1A	TES
FOXJ2	TES
TBP	TES
TCF3	FGD4
RFX1	BRP44
IRF1	BRP44
TP53	KIAA0889
NF1	KIAA0889
HOXC6	LYPD2
PBX3	LYPD2
PKNOX1	LYPD2
PBX1	LYPD2
HOXB1	LYPD2
PDX1	LYPD2
PBX2	LYPD2
HOXB7	LYPD2
HOXB8	LYPD2
E2F1	PEG3
DSP	PEG3
YY1	PEG3
MEF2A	PEG3
NFYB	PEG3
NFYA	PEG3
MTF1	PEG3
MEIS1	RPLP0
HOXA9	RPLP0
NFYB	RPLP0
NFYA	RPLP0
FOXO3B	ALPK2
FOXO3	ALPK2
TCF3	AP4M1
YY1	CLDN15
NFYB	ASF1B
NFYA	ASF1B
HIF1A	MYST1
NR3C1	MYST1
AR	MYST1
RORA	MYST1
SETD2	MYST1
RXRA	EPHA1
NR1H4	EPHA1
IRF1	HIST2H4B
CEBPG	ATXN7L1
SMAD3	ATXN7L1
SRF	ATXN7L1
PPARA	ATXN7L1
AIRE	ATXN7L1
RXRA	ATXN7L1
FOXI1	ATXN7L1
RUNX3	COX11
RUNX1	COX11
RUNX2	COX11
NFE2L1	SPTA1
ZNF589	STXBP1
FOXO1	STXBP1
RXRA	C1QTNF6
NR1H4	C1QTNF6
POU3F2	UNK
POU3F1	UNK
NKX3-1	UNK
POU5F1	UNK
NKX2-1	UNK
FOSL2	UNK
POU4F1	UNK
FOSL1	UNK
JUNB	UNK
JUN	UNK
PBX1	UNK
ARID5B	UNK
FOSB	UNK
FOS	UNK
POU5F1B	UNK
JUND	UNK
TBP	UNK
POU2F2	UNK
POU2AF1	UNK
POU2F1	UNK
E2F1	GFER
HIF1A	GFER
THRB	GFER
DSP	GFER
THRA	GFER
SP1	GFER
NR2F2	GFER
SP2	GFER
HNF4A	GFER
SP4	GFER
RARA	GFER
NF1	GFER
SP3	GFER
RARB	GFER
CREM	GFER
ATF4	GFER
JUN	GFER
NFIC	GFER
RXRG	GFER
RXRA	GFER
CTF1	GFER
RFX1	GFER
AHR	GFER
ARNT	GFER
RFXANK	GFER
NR1H4	GFER
RFXAP	GFER
NR2F1	GFER
TCF3	GFER
UBE4A	GFER
FOS	GFER
RFX2	GFER
SETD2	GFER
PAX8	GFER
RFX3	GFER
TFAP4	GFER
CREB1	GFER
ATF2	GFER
PLAU	GFER
RARG	GFER
VDR	GFER
E2F3	GFER
RXRB	GFER
TFDP1	GFER
ARNT2	GFER
RFX5	GFER
RFX4	GFER
E2F4	GFER
CEBPA	C1ORF51
DDIT3	C1ORF51
USF1	C1ORF51
MYC	C1ORF51
NFIL3	C1ORF51
PGR	C1ORF51
HOXA7	C1ORF51
AHR	C1ORF51
MAX	C1ORF51
ARNT	C1ORF51
NR3C1	C1ORF51
AR	C1ORF51
SRF	HS1BP3
ESR1	HS1BP3
HIC1	DSCAML1
POU2F1	DSCAML1
STAT4	RDH5
STAT6	RDH5
STAT5A	RDH5
STAT3	RDH5
STAT2	RDH5
STAT5B	RDH5
STAT1	RDH5
USF1	RDH5
NR1H3	RDH5
NFKB1	RDH5
FOSL2	RDH5
MYC	RDH5
FOSL1	RDH5
JUNB	RDH5
JUN	RDH5
RXRA	RDH5
MAX	RDH5
ARNT	RDH5
FOSB	RDH5
FOS	RDH5
NR1H2	RDH5
JUND	RDH5
NKX6-1	DNAJC15
AIRE	REPS2
CEBPG	MARCO
HOXC6	C1QB
PBX3	C1QB
PKNOX1	C1QB
AIRE	C1QB
PBX1	C1QB
HOXB1	C1QB
PDX1	C1QB
PBX2	C1QB
HOXB7	C1QB
HOXB8	C1QB
CEBPG	ASB8
POU3F2	PREP
CUX1	PREP
FOXA1	G2E3
SRY	G2E3
FOXI1	G2E3
NFKB1	FAM133B
MEF2A	MYH7B
ELSPBP1	ZC3H12A
TFF3	ZC3H12A
ASCL1	ZC3H12A
NR5A1	ZC3H12A
TCF4	ZC3H12A
FOSL2	ZC3H12A
PAX5	ZC3H12A
ESR2	ZC3H12A
ESRRA	ZC3H12A
FOSL1	ZC3H12A
JUNB	ZC3H12A
NFE2L1	ZC3H12A
BACH1	ZC3H12A
JUN	ZC3H12A
MYOD1	ZC3H12A
TFEB	ZC3H12A
MYOG	ZC3H12A
ARID5B	ZC3H12A
ESR1	ZC3H12A
MYF5	ZC3H12A
MITF	ZC3H12A
TCF3	ZC3H12A
FOSB	ZC3H12A
FOS	ZC3H12A
JUND	ZC3H12A
TCF12	ZC3H12A
ZEB1	ZC3H12A
TFE3	ZC3H12A
MYF6	ZC3H12A
POU2F1	ZC3H12A
MEF2A	TMPRSS15
USF2	COMMD9
USF1	COMMD9
NF1	COMMD9
SRF	FIGNL2
HNF4A	FIGNL2
ESR1	FIGNL2
ELSPBP1	BAIAP3
NR1I2	BAIAP3
ATF6	BAIAP3
LMO2	BAIAP3
MYOD1	BAIAP3
RXRA	BAIAP3
TCF3	BAIAP3
CASR	BAIAP3
ZEB1	BAIAP3
VDR	BAIAP3
RXRB	BAIAP3
IL6	CRYAB
SRF	NPAS2
MEF2A	NPAS2
RORA	NPAS2
