TF	Gene
SOX10	CYFIP2
SOX11	CYFIP2
SOX5	CYFIP2
SOX9	CYFIP2
SOX8	CYFIP2
ETS1	CYFIP2
SOX12	CYFIP2
GATA2	CYFIP2
SRY	CYFIP2
SOX14	CYFIP2
SOX3	CYFIP2
GATA3	CYFIP2
SOX4	CYFIP2
GATA4	CYFIP2
TCF3	ELK4
TLX1	FAM102A
NF1	FAM102A
NFIC	FAM102A
RORA	FAM102A
ALX1	NMB
NFE2	SLC48A1
ATF6	CPE
MEF2A	CPE
CEBPG	C2ORF7
FOXC1	C2ORF7
NR2F2	C2ORF7
HNF4A	C2ORF7
PPARA	C2ORF7
HNF4G	C2ORF7
RXRA	C2ORF7
ZBTB6	C2ORF7
NR2F1	C2ORF7
PPARG	C2ORF7
FOXA1	HOXC4
HOXA4	HOXC4
FOXA2	HOXC4
FOXA3	HOXC4
NR3C1	HOXC4
FOXM1	HOXC4
FOXD1	MTERFD2
FOXF2	MTERFD2
FOXA1	PLCXD2
FOXA2	PLCXD2
FOXA3	PLCXD2
HOXA7	PLCXD2
NFYB	PLCXD2
NFYA	PLCXD2
FOXF1	PLCXD2
FOXF2	PLCXD2
FOXJ1	PLCXD2
FOXJ2	PLCXD2
FOXD3	PLCXD2
POU1F1	PLCXD2
FOXM1	PLCXD2
FOXD1	BIRC2
CREM	BIRC2
ATF3	BIRC2
CREB1	BIRC2
TFAP2A	SMCR8
NR1I2	DND1
NR2F2	DND1
NR1H3	DND1
RARA	DND1
RARB	DND1
RXRG	DND1
RXRA	DND1
NR2F1	DND1
CASR	DND1
NR1H2	DND1
RARG	DND1
RXRB	DND1
NFYB	RAET1G
NFYA	RAET1G
TBX5	RPL26
CEBPB	RPL26
ELK1	RPL26
ZEB1	RPL26
ATF5	FRAT1
ATF6	FRAT1
CREM	FRAT1
ATF4	FRAT1
ATF7	FRAT1
ATF3	FRAT1
SOX9	FRAT1
SRY	FRAT1
ATF1	FRAT1
CREB1	FRAT1
ATF2	FRAT1
PLAU	FRAT1
NR2F2	TSPAN7
AHR	TSPAN7
ARNT	TSPAN7
NR2F1	TSPAN7
E2F1	TNRC18
DSP	TNRC18
EP300	TNRC18
SMAD4	TNRC18
CD40	TNRC18
NFKB1	TNRC18
HNF1A	TNRC18
IRF2	TNRC18
HNF1B	TNRC18
TFAP2C	TNRC18
MZF1	TNRC18
ZBTB7A	TNRC18
TFAP2A	TNRC18
UBE4A	TNRC18
HIC1	TNRC18
E2F3	TNRC18
TFAP2B	TNRC18
TFDP1	TNRC18
E2F4	TNRC18
MEF2A	MRPL16
CDC5L	STX11
CD40	STX11
CEBPG	ARID2
PATZ1	ARID2
STAT6	ARID2
MEIS1	ARID2
CEBPA	ARID2
YY1	ARID2
FOXL1	ARID2
HOXA4	ARID2
FOXO4	ARID2
CDC5L	ARID2
OTX2	ARID2
CD40	ARID2
NKX6-2	ARID2
HOXA9	ARID2
PAX2	ARID2
LHX3	ARID2
TEAD2	ARID2
NFIL3	ARID2
HOXA7	ARID2
HLF	ARID2
SOX5	ARID2
PBX1	ARID2
SOX9	ARID2
OTX1	ARID2
CDX1	ARID2
CDX2	ARID2
SRY	ARID2
TCF7L2	ARID2
PDX1	ARID2
FOXO3	ARID2
ATF2	ARID2
FOXJ2	ARID2
TBP	ARID2
HMGA2	ARID2
FOXO1	ARID2
CUX1	ARID2
POU2F1	ARID2
PAX6	KCTD20
MAX	VPS11
PITX2	VPS11
ALX1	CNTN4
STAT5B	GART
FOXO3B	GART
CNTN2	GART
FOXO3	GART
CREB1	GART
SP1	CLN8
SP2	CLN8
SP4	CLN8
SP3	CLN8
PAX5	GRWD1
IRF2	GRWD1
PAX2	GRWD1
LHX3	GRWD1
PAX8	GRWD1
POU1F1	GRWD1
IRF1	GRWD1
POU2F1	GRWD1
EGR2	DAP
EGR1	DAP
EGR3	DAP
EGR4	DAP
PAX6	DAP
TOPORS	DNAJC8
USF2	DDX54
USF1	DDX54
PAX5	LYN
MEF2A	LYN
PAX2	LYN
ELF2	LYN
PAX8	LYN
POU2F1	LYN
POU2F1	MCPH1
E2F1	CCNE2
NF1	CCNE2
STAT1	C14ORF181
CD40	C14ORF181
NFKB1	C14ORF181
IRF4	C14ORF181
IRF5	C14ORF181
IRF7	C14ORF181
IRF3	C14ORF181
IRF2	C14ORF181
NFIL3	C14ORF181
FKBP4	C14ORF181
IRF8	C14ORF181
IRF9	C14ORF181
FOXF1	C14ORF181
RORA	C14ORF181
FOXF2	C14ORF181
FOXJ1	C14ORF181
ATF2	C14ORF181
PLAU	C14ORF181
FOXD3	C14ORF181
IRF1	C14ORF181
POU2F1	C14ORF181
EGR2	ANXA5
EGR1	ANXA5
EGR3	ANXA5
TFAP2A	GBE1
YY1	MIOS
CD40	MIOS
NFKB1	MIOS
NFKB2	MIOS
PAX5	MIOS
HNF1A	MIOS
FKBP4	MIOS
RELA	MIOS
HNF1B	MIOS
CUX1	MIOS
PAX5	PSAT1
STAT5A	ADCYAP1
PAX1	HYI
PPARA	HYI
RXRA	HYI
NR1H4	HYI
NF1	SDC1
STAT1	RBM5
REL	C1ORF151
NR6A1	C1ORF151
RELA	C1ORF151
PAX6	C1ORF151
POU1F1	C1ORF151
PPARG	C1ORF151
HSF1	GABPB2
HSF2	GABPB2
IRF1	GABPB2
RORA	C4B
ONECUT2	PCP2
SP1	PCP2
TBX5	PCP2
NR2F2	PCP2
CLOCK	PCP2
HNF4A	PCP2
HNF4G	PCP2
ONECUT1	PCP2
ARNTL2	PCP2
ARNTL	PCP2
ESR1	PCP2
NR2F1	PCP2
PPARG	PCP2
LMO2	CREB3
CD40	CREB3
NFKB1	CREB3
TEAD1	CREB3
ARID5B	ORC5
E2F1	NCL
RB1	NCL
CDC5L	NCL
USF1	NCL
CLOCK	NCL
TCF4	NCL
ARNTL2	NCL
MYC	NCL
MAX	NCL
ARNTL	NCL
TCF3	NCL
NR5A2	NCL
TFDP1	NCL
STAT3	TUSC3
ESR1	TSPEAR
CUX1	FAM54A
PGR	TTC33
POU2F1	TTC33
YY1	ZNF207
NFATC2	ZNF207
NFATC4	ZNF207
NFATC1	ZNF207
NFATC3	ZNF207
CNTN2	ZNF207
CREB1	ZNF207
E2F1	HPDL
DSP	HPDL
RXRA	HPDL
E2F7	HPDL
UBE4A	HPDL
VDR	HPDL
E2F3	HPDL
TFDP1	HPDL
E2F4	HPDL
SREBF2	SUPT3H
SREBF1	SUPT3H
AIRE	SUPT3H
PLAU	SUPT3H
NFYB	FAM46B
NFYA	FAM46B
RREB1	TRIM28
TFAP2C	TRIM28
TFAP2A	TRIM28
VDR	TRIM28
PPARG	MSLN
TOPORS	PRR5-ARHGAP8
PBX1	ACVR1
ETS1	ACVR1
STAT5A	ZNF578
STAT5B	ZNF578
PAX2	PKN2
GATA1	DUSP6
FOXA1	DUSP6
FOXA2	DUSP6
FOXA3	DUSP6
SPIB	DUSP6
CEBPD	DUSP6
SOX5	DUSP6
SOX9	DUSP6
NR3C1	DUSP6
FOXM1	DUSP6
POU2F1	DUSP6
PAX2	TAF5
ALX4	TAF5
STAT4	RERE
STAT6	RERE
STAT5A	RERE
STAT3	RERE
STAT2	RERE
STAT5B	RERE
STAT1	RERE
FOXO4	RERE
FOXF2	RERE
NKX3-1	VAPB
NKX2-2	VAPB
TFAP2A	KIF3B
ETS2	SECISBP2
ESR1	SECISBP2
ELF2	SECISBP2
CEBPG	FAM65B
STAT4	FAM65B
POU3F1	FAM65B
CEBPE	FAM65B
DBP	FAM65B
GATA1	FAM65B
CEBPA	FAM65B
GATA6	FAM65B
FOXL1	FAM65B
NKX2-1	FAM65B
HOXA4	FAM65B
GATA5	FAM65B
HOXC6	FAM65B
OTX2	FAM65B
NKX6-2	FAM65B
CEBPB	FAM65B
CEBPD	FAM65B
PBX3	FAM65B
PKNOX1	FAM65B
SOX10	FAM65B
PBX1	FAM65B
HOXB1	FAM65B
IRF8	FAM65B
OTX1	FAM65B
GATA2	FAM65B
TCF3	FAM65B
SRY	FAM65B
TCF7L2	FAM65B
PDX1	FAM65B
IL10	FAM65B
GATA3	FAM65B
FOXO3	FAM65B
GATA4	FAM65B
POU1F1	FAM65B
IRF1	FAM65B
PBX2	FAM65B
HOXB7	FAM65B
HOXB8	FAM65B
POU2F1	FAM65B
BACH2	PLK3
SMAD3	PLK3
SMAD2	PLK3
NRF1	PLK3
MEIS1	PLK3
SMAD6	PLK3
YY1	PLK3
SMAD5	PLK3
RREB1	PLK3
MAF	PLK3
TBX5	PLK3
NR2F2	PLK3
MAFB	PLK3
LMO2	PLK3
HNF4A	PLK3
SMAD4	PLK3
CD40	PLK3
SMAD7	PLK3
HNF4G	PLK3
NFE2L3	PLK3
NFKB1	PLK3
FOSL2	PLK3
NFKB2	PLK3
SMAD1	PLK3
MAFG	PLK3
NFE2	PLK3
GABPA	PLK3
FOSL1	PLK3
JUNB	PLK3
NFE2L1	PLK3
BACH1	PLK3
JUN	PLK3
FKBP4	PLK3
RFX1	PLK3
TFEB	PLK3
RELA	PLK3
MAFK	PLK3
RFXANK	PLK3
MITF	PLK3
RFXAP	PLK3
NR2F1	PLK3
FOSB	PLK3
FOS	PLK3
RFX2	PLK3
RORA	PLK3
JUND	PLK3
RFX3	PLK3
TFAP4	PLK3
IL10	PLK3
GATA3	PLK3
TFE3	PLK3
MAFF	PLK3
RFX5	PLK3
CUX1	PLK3
RFX4	PLK3
TCF3	RFXANK
PITX2	RFXANK
CEBPA	FAM5B
TP53	FAM5B
DDIT3	FAM5B
SMAD4	TAX1BP1
NKX2-2	ATP2C1
PAX5	ATP2C1
FOXF2	ATP2C1
IRF1	ATP2C1
NKX2-2	STIP1
MEF2A	STAU1
RORA	STAU1
FOXF2	EFCAB2
CEBPG	EOMES
STAT4	EOMES
POU3F1	EOMES
CEBPE	EOMES
FOXC1	EOMES
STAT6	EOMES
STAT5A	EOMES
CEBPA	EOMES
GATA6	EOMES
STAT1	EOMES
ONECUT2	EOMES
LEF1	EOMES
OTX2	EOMES
SPIB	EOMES
ONECUT1	EOMES
NFATC2	EOMES
NFATC4	EOMES
CEBPB	EOMES
HNF1A	EOMES
NFATC1	EOMES
CEBPD	EOMES
NFATC3	EOMES
ALX1	EOMES
OTX1	EOMES
ETS1	EOMES
TCF7L2	EOMES
PDX1	EOMES
FOXO1	EOMES
SPI1	EOMES
POU2F1	EOMES
HSF2	RAP2A
RREB1	SV2A
MEF2A	SV2A
ZNF589	SMYD5
EGR3	SMYD5
HIF1A	TLE3
POU3F1	TLE3
DBP	TLE3
CEBPA	TLE3
FOXA1	TLE3
HOXA4	TLE3
LEF1	TLE3
FOXA2	TLE3
USF1	TLE3
CLOCK	TLE3
FOXA3	TLE3
NR1H3	TLE3
ARNTL2	TLE3
MYC	TLE3
HNF1A	TLE3
PAX2	TLE3
SOX10	TLE3
RXRA	TLE3
NFYB	TLE3
MAX	TLE3
MAZ	TLE3
NFYA	TLE3
ARNTL	TLE3
HSF2	TLE3
MZF1	TLE3
ZBTB7A	TLE3
SRY	TLE3
TCF7L2	TLE3
PDX1	TLE3
NR1H2	TLE3
FOXF1	TLE3
SETD2	TLE3
FOXF2	TLE3
PAX8	TLE3
FOXJ1	TLE3
GATA3	TLE3
CREB1	TLE3
E4F1	TLE3
TBP	TLE3
FOXD3	TLE3
VDR	TLE3
POU1F1	TLE3
FOXI1	TLE3
FOXM1	TLE3
POU2F1	TLE3
STAT1	IL28A
SMAD4	VPS13D
ESRRA	VPS13D
NKX3-1	NGLY1
HERPUD1	NGLY1
SP1	NGLY1
ZEB1	LPIN3
NR3C1	SAFB2
AIRE	DNAJC13
PDX1	DNAJC13
IL6	PISD
GTF2A2	PISD
GTF2A1	PISD
TBX5	PISD
ALX1	PISD
ZBTB6	PISD
ETS1	PISD
GTF2A1L	PISD
NKX2-5	PISD
EGR2	ITGAV
EGR1	ITGAV
EGR3	ITGAV
EGR4	ITGAV
PAX3	MDH1B
RFX1	TBCEL
FOXD1	SNX1
ETS2	SNX1
ELF2	SNX1
FOXF1	SNX1
FOXF2	SNX1
FOXJ1	SNX1
FOXJ2	SNX1
FOXD3	SNX1
POU2F1	SNX1
TP53	FARSA
YY1	FARSA
NR5A1	FARSA
ESRRA	FARSA
NKX2-5	FARSA
NR5A2	FARSA
CUX1	FARSA
GATA1	TSC22D4
NKX2-1	TSC22D4
RREB1	TSC22D4
NR2F2	TSC22D4
SREBF2	TSC22D4
SREBF1	TSC22D4
NR2F1	TSC22D4
ZBTB7A	TSC22D4
GTF2I	TSC22D4
SPI1	TSC22D4
GATA1	PRDX4
CUX1	FAHD2A
STAT5A	PPCDC
MYC	PPCDC
MAX	PPCDC
NHLH1	MTG1
MYC	C4ORF42
MAX	C4ORF42
TFAP2A	C4ORF42
IL10	C4ORF42
TFAP2B	C4ORF42
DSP	HSPE1
HNF1A	HSPE1
HNF1B	HSPE1
IRF1	HSPE1
NKX2-1	UTP18
USF1	UTP18
NKX2-2	UTP18
TFAP2A	UTP18
RORA	UTP18
NHLH1	UTP18
POU2F1	DEFB114
ESR1	BRP44L
PDX1	ITGA4
MEIS1	CAMKK2
PAX1	CAMKK2
HOXA9	CAMKK2
ALX1	CAMKK2
RORA	CAMKK2
NR3C1	DUSP12
TBX5	UNKL
CD40	UNKL
NFKB1	UNKL
RUNX1	UNKL
NFKB2	UNKL
NFE2	UNKL
FKBP4	UNKL
RELA	UNKL
HINFP	UNKL
CUX1	UNKL
TP53	GTPBP1
CREM	GTPBP1
LHX3	GTPBP1
ATF4	GTPBP1
ATF7	GTPBP1
ATF3	GTPBP1
HSF1	GTPBP1
ATF1	GTPBP1
CREB1	GTPBP1
ATF2	GTPBP1
PLAU	GTPBP1
CUX1	GTPBP1
YY1	HEATR2
ZNF350	HEATR2
JUN	PRKAR1A
NFYA	PRKAR1A
CREB1	PRKAR1A
ATF2	PRKAR1A
POU1F1	RPAP3
MEF2A	DNASE1
AIRE	GTF2H4
RXRA	GTF2H4
NR1H4	GTF2H4
ZNF350	MYL12A
CEBPD	MYL12A
MEF2A	MYL12A
TEAD1	MYL12A
TCF4	TPRKB
NR2F2	RPS3A
HNF4A	RPS3A
PPARA	RPS3A
HNF4G	RPS3A
RXRA	RPS3A
NR2F1	RPS3A
PPARG	RPS3A
POU2F1	UGT3A2
FOXD1	ZAP70
LEF1	ZAP70
LMO2	ZAP70
NF1	ZAP70
MYC	ZAP70
HNF1A	ZAP70
TFEB	ZAP70
MAX	ZAP70
PBX1	ZAP70
MITF	ZAP70
TCF3	ZAP70
FOS	ZAP70
TFE3	ZAP70
RUNX1	ITGB2
MYC	CLCN7
MAX	CLCN7
STAT5A	SDHAF2
STAT1	SDHAF2
PAX6	SDHAF2
FOXJ1	SDHAF2
ZBTB16	YBX1
ELK1	PGAP3
NR3C1	PGAP3
FOXD1	DHRS13
PAX2	DHRS13
CEBPA	SGPP1
STAT1	SGPP1
IRF8	SGPP1
ZBTB16	SGPP1
PATZ1	C1ORF198
TP53	H3F3C
NKX3-1	B4GALT3
NFATC2	B4GALT3
NFATC4	B4GALT3
NFATC1	B4GALT3
NFATC3	B4GALT3
RORA	B4GALT3
GATA1	TP53BP1
MEIS1	TP53BP1
ELSPBP1	TP53BP1
FOXP3	TP53BP1
HOXA9	TP53BP1
MYOD1	TP53BP1
NR3C1	TP53BP1
GATA2	TP53BP1
TCF3	TP53BP1
TFAP4	TP53BP1
GATA3	TP53BP1
ELK4	ABHD8
FLI1	ABHD8
NF1	ABHD8
NFIL3	ABHD8
NFIC	ABHD8
RXRA	ABHD8
CTF1	ABHD8
ETS2	ABHD8
ETS1	ABHD8
ELF2	ABHD8
CUZD1	ABHD8
TFAP4	ABHD8
ERF	ABHD8
PPARG	ABHD8
NHLH1	ABHD8
TP53	TMEM184B
POU2F1	ELL
POU3F2	MLL
POU3F1	MLL
GATA6	MLL
BRCA1	MLL
POU5F1	MLL
USF2	MLL
POU4F1	MLL
PRDM1	MLL
AR	MLL
MZF1	MLL
TFAP2A	MLL
POU5F1B	MLL
GTF2I	MLL
GATA4	MLL
POU2F2	MLL
POU2AF1	MLL
POU2F1	MLL
EGR2	SEMA4F
EGR3	SEMA4F
PGR	BMPR1A
LMO2	PLCL1
POU2F1	PLCL1
EGR2	LRP10
EGR1	LRP10
SREBF1	LRP10
EGR3	LRP10
EGR4	LRP10
EGR2	C2ORF65
EGR3	C2ORF65
POU3F2	PRPSAP2
ELK4	NSUN6
IRF4	NSUN6
IRF5	NSUN6
IRF7	NSUN6
IRF3	NSUN6
IRF2	NSUN6
IRF6	NSUN6
PBX1	NSUN6
IRF8	NSUN6
CREB1	NSUN6
E4F1	NSUN6
IRF1	NSUN6
SMAD4	GPBAR1
CD40	GPBAR1
NFKB1	GPBAR1
PAX5	GPBAR1
PAX2	GPBAR1
FKBP4	GPBAR1
PAX8	GPBAR1
FOXC1	ZNF292
CEBPA	ZNF292
LEF1	ZNF292
USF2	ZNF292
USF1	ZNF292
NFATC2	ZNF292
NFATC4	ZNF292
HNF1A	ZNF292
NFATC1	ZNF292
NFATC3	ZNF292
ARNT	ZNF292
RORA	ZNF292
HINFP	MIF4GD
IRF4	NFKBIZ
IRF5	NFKBIZ
IRF7	NFKBIZ
IRF3	NFKBIZ
IRF2	NFKBIZ
IRF6	NFKBIZ
RELA	NFKBIZ
IRF8	NFKBIZ
POU1F1	NFKBIZ
IRF1	NFKBIZ
FOXI1	NFKBIZ
CUX1	NFKBIZ
ONECUT2	EEPD1
ONECUT1	EEPD1
HMGA2	GPR65
POU2F1	GPR65
CUX1	SNURF
GATA1	C6ORF130
VSX2	C6ORF130
LEF1	C6ORF130
NKX2-2	C6ORF130
HNF1A	C6ORF130
AIRE	C6ORF130
MYB	C6ORF130
HIF1A	SEPT9
GATA1	SEPT9
GTF2A2	SEPT9
GTF2A1	SEPT9
NKX2-1	SEPT9
NR2F2	SEPT9
LEF1	SEPT9
LMO2	SEPT9
RUNX1	SEPT9
NF1	SEPT9
HNF1A	SEPT9
RUNX2	SEPT9
NFIC	SEPT9
CTF1	SEPT9
PAX6	SEPT9
GTF2A1L	SEPT9
SETD2	SEPT9
POU3F2	DCAF8
NKX2-2	DCAF8
CDX1	DCAF8
CDX2	DCAF8
POU3F2	PREX1
POU3F1	PREX1
POU5F1	PREX1
POU4F1	PREX1
HLF	PREX1
PAX6	PREX1
POU5F1B	PREX1
POU2F2	PREX1
POU2AF1	PREX1
POU2F1	PREX1
USF1	FAM116A
SREBF1	FAM116A
MYC	FAM116A
MAX	FAM116A
ARNT	FAM116A
ESR1	FAM116A
FOXI1	FAM116A
CRX	BCKDHA
RAX	BCKDHA
E2F1	CCNO
DSP	CCNO
RB1	CCNO
E2F5	CCNO
E2F2	CCNO
E2F3	CCNO
TFDP1	CCNO
E2F4	CCNO
POU2F1	CCNO
PAX6	MTMR1
SOX2	CASP8
SOX15	CASP8
SOX18	CASP8
SOX21	CASP8
NKX2-2	CASP8
SOX10	CASP8
SOX11	CASP8
SOX5	CASP8
SOX9	CASP8
SOX8	CASP8
SOX12	CASP8
SRY	CASP8
SOX14	CASP8
SOX3	CASP8
SOX4	CASP8
FOXJ2	CASP8
POU3F2	AAK1
NKX3-1	AAK1
NKX2-1	AAK1
RUNX3	AAK1
RUNX1	AAK1
RUNX2	AAK1
MEF2A	AAK1
SRY	AAK1
FOXF2	AAK1
SRF	ZNF562
STAT1	B3GALNT1
STAT4	CCDC85B
STAT6	CCDC85B
STAT5A	CCDC85B
TP53	CCDC85B
STAT3	CCDC85B
STAT2	CCDC85B
STAT5B	CCDC85B
STAT1	CCDC85B
KCNH6	CCDC85B
ELK3	CCDC85B
ERG	CCDC85B
ELK4	CCDC85B
HNF4A	CCDC85B
SPIB	CCDC85B
FLI1	CCDC85B
GABPA	CCDC85B
EFNA2	CCDC85B
GABPB1	CCDC85B
GABPB2	CCDC85B
ETV4	CCDC85B
ELK1	CCDC85B
ETS2	CCDC85B
NR3C1	CCDC85B
ETS1	CCDC85B
ELF2	CCDC85B
CUZD1	CCDC85B
ATM	CCDC85B
ELF4	CCDC85B
ERF	CCDC85B
SPI1	CCDC85B
PDX1	LAPTM4A
GATA1	MADD
GATA6	MADD
EGR2	MADD
EGR1	MADD
GATA5	MADD
MEF2A	MADD
EGR3	MADD
EFNA2	MADD
EGR4	MADD
GATA2	MADD
GATA3	MADD
GATA4	MADD
E2F1	CKB
FOXD1	CKB
NR5A1	CKB
MEF2A	CKB
ESR1	CKB
MZF1	CKB
TCF3	CKB
CREB1	CKB
JUN	RALGAPA1
CREB1	RALGAPA1
ATF2	RALGAPA1
STAT1	IFIT1
IRF4	IFIT1
IRF5	IFIT1
IRF7	IFIT1
IRF3	IFIT1
IRF2	IFIT1
LHX3	IFIT1
IRF6	IFIT1
IRF8	IFIT1
IRF9	IFIT1
IRF1	IFIT1
PPARG	BLK
GABPA	RPL7L1
GABPB1	RPL7L1
GABPB2	RPL7L1
ELK1	RPL7L1
DBP	CCR7
LEF1	CCR7
ELK4	CCR7
SREBF1	CCR7
FLI1	CCR7
FOSL2	CCR7
GFI1	CCR7
HNF1A	CCR7
FOSL1	CCR7
JUNB	CCR7
JUN	CCR7
PGR	CCR7
ETS2	CCR7
NR3C1	CCR7
PAX6	CCR7
ETS1	CCR7
GFI1B	CCR7
ELF2	CCR7
TCF7L2	CCR7
FOS	CCR7
CUZD1	CCR7
RORA	CCR7
JUND	CCR7
ERF	CCR7
GATA4	CCR7
YY1	TMEM42
AIRE	IZUMO1
TCF3	IZUMO1
HNF1A	PDE7B
ZEB1	SLC35A3
TFDP1	SLC35A3
E2F4	SLC35A3
RREB1	WDR60
MTF1	CALML4
CNTN2	CALML4
CREB1	CALML4
DSP	HAUS8
FOXD1	FOXP2
NKX3-1	FOXP2
NKX6-2	FOXP2
TBP	FOXP2
NFYB	GGCT
NFYA	GGCT
SRF	NLRP1
NF1	NLRP1
GATA1	ALG3
NKX2-1	ALG3
PAX6	ALG3
HSF2	ALG3
AR	ALG3
ZEB1	ALG3
E2F1	EXO1
DSP	EXO1
RB1	EXO1
UBE4A	EXO1
PDX1	EXO1
PLAU	EXO1
E2F3	EXO1
TFDP1	EXO1
E2F4	EXO1
POU3F2	CCNH
CNTN2	MIER1
CREB1	MIER1
RORA	PPARD
HINFP	PPARD
FOXJ1	C1ORF101
PBX1	NAGA
ZNF219	NAT14
MYC	NAT14
MAX	NAT14
PDX1	NAT14
RORA	NAT14
VDR	NAT14
ELK1	POLA1
CEBPA	ASTL
GTF2A2	ASTL
GTF2A1	ASTL
REL	ASTL
DEC1	ASTL
BHLHE41	ASTL
RUNX1	ASTL
TAL1	ASTL
NR3C1	ASTL
GTF2A1L	ASTL
AR	ASTL
TCF3	ASTL
TEAD1	ASTL
VDR	ASTL
E2F1	SMARCD2
DSP	SMARCD2
FOXO4	SMARCD2
E2F7	SMARCD2
UBE4A	SMARCD2
E2F3	SMARCD2
TFDP1	SMARCD2
E2F4	SMARCD2
PDX1	UBXN2A
POU2F1	UBXN2A
RORA	GLT25D1
ATF2	GLT25D1
TBP	GLT25D1
NR1I2	ABCA1
NR2F2	ABCA1
NR1H3	ABCA1
RARA	ABCA1
RARB	ABCA1
RXRG	ABCA1
RXRA	ABCA1
NR2F1	ABCA1
CASR	ABCA1
NR1H2	ABCA1
RARG	ABCA1
RXRB	ABCA1
BACH2	GYPC
FOSL2	GYPC
FOSL1	GYPC
JUNB	GYPC
JUN	GYPC
TFEB	GYPC
MITF	GYPC
FOS	GYPC
JUND	GYPC
TFE3	GYPC
SOX9	PCDH12
ETS1	PCDH12
PPARG	PCDH12
PAX1	MAD2L1
MEF2A	MAD2L1
IRF2	FITM1
IRF1	FITM1
STAT4	C11ORF2
STAT6	C11ORF2
STAT5A	C11ORF2
STAT3	C11ORF2
STAT2	C11ORF2
STAT5B	C11ORF2
STAT1	C11ORF2
MYC	NTN3
MAX	NTN3
TFAP2C	NTN3
TFAP2A	NTN3
ATF3	PURB
ATF1	PURB
PLAU	PURB
PAX5	CCDC64
MYC	CCDC64
AHR	CCDC64
MAX	CCDC64
ARNT	CCDC64
AHR	TNKS1BP1
ARNT	TNKS1BP1
NR3C1	TNKS1BP1
AR	TNKS1BP1
POU2F1	TNKS1BP1
DSP	SUZ12
NFYA	SUZ12
NFYB	CCT6B
NFYA	CCT6B
MEIS1	PIP5K1A
HOXA9	PIP5K1A
CD40	IRF5
NFKB1	IRF5
NFKB2	IRF5
FKBP4	IRF5
RELA	IRF5
CUX1	IRF5
PGR	GRID1
NR3C1	GRID1
STAT5A	SNAPIN
STAT3	SNAPIN
MEF2A	RNASE13
RREB1	SEZ6L2
VDR	SEZ6L2
IL6	MARCH6
CUX1	TACR1
FOXF1	CSGALNACT2
FOXF2	CSGALNACT2
FOXJ1	CSGALNACT2
FOXD3	CSGALNACT2
PAX1	RC3H1
E2F1	ESYT1
STAT4	ESYT1
ATF5	ESYT1
POU3F1	ESYT1
STAT5A	ESYT1
GATA6	ESYT1
STAT1	ESYT1
CRX	ESYT1
HOXA4	ESYT1
ATF6	ESYT1
SMAD4	ESYT1
SPIB	ESYT1
MYC	ESYT1
EFNA2	ESYT1
CREM	ESYT1
ATF4	ESYT1
JUN	ESYT1
RAX	ESYT1
ATF7	ESYT1
ATF3	ESYT1
MAX	ESYT1
GATA2	ESYT1
ATF1	ESYT1
APC	ESYT1
CREB1	ESYT1
ATF2	ESYT1
PLAU	ESYT1
GATA4	ESYT1
TFDP1	ESYT1
CUX1	ESYT1
E2F4	ESYT1
POU2F1	RAD21
ZNF238	COL9A2
TCF4	MRPL9
PGR	MRPL9
TCF3	MRPL9
IL6	NUTF2
GATA1	NUTF2
LMO2	NUTF2
NR1I2	ESRRA
NR2F2	ESRRA
HNF4A	ESRRA
PPARA	ESRRA
NR5A1	ESRRA
NR1H3	ESRRA
HNF4G	ESRRA
RARA	ESRRA
RARB	ESRRA
ESRRA	ESRRA
RXRG	ESRRA
RXRA	ESRRA
MAX	ESRRA
NR2F1	ESRRA
CASR	ESRRA
NR1H2	ESRRA
RORA	ESRRA
RARG	ESRRA
RXRB	ESRRA
PPARG	ESRRA
POU2F1	ESRRA
VSX2	TACC2
FOXL1	CCPG1
RXRA	CCPG1
NR1H4	CCPG1
IRF4	ERAP1
GFI1	ERAP1
IRF5	ERAP1
IRF7	ERAP1
IRF3	ERAP1
IRF2	ERAP1
IRF6	ERAP1
IRF8	ERAP1
GFI1B	ERAP1
IRF1	ERAP1
STAT5A	EIF2AK4
CEBPG	SYNGAP1
SMAD3	SYNGAP1
SMAD2	SYNGAP1
CEBPE	SYNGAP1
GATA1	SYNGAP1
STAT5A	SYNGAP1
CEBPA	SYNGAP1
GATA6	SYNGAP1
THRB	SYNGAP1
YY1	SYNGAP1
WT1	SYNGAP1
STAT1	SYNGAP1
THRA	SYNGAP1
FOXP3	SYNGAP1
HOXA4	SYNGAP1
GATA5	SYNGAP1
USF1	SYNGAP1
TLX2	SYNGAP1
SRF	SYNGAP1
SMAD4	SYNGAP1
ZNF219	SYNGAP1
CD40	SYNGAP1
NR1H3	SYNGAP1
RARA	SYNGAP1
SMAD1	SYNGAP1
RARB	SYNGAP1
CEBPB	SYNGAP1
CEBPD	SYNGAP1
CREM	SYNGAP1
ATF4	SYNGAP1
RXRG	SYNGAP1
PGR	SYNGAP1
RXRA	SYNGAP1
ATF7	SYNGAP1
NFYB	SYNGAP1
RFX1	SYNGAP1
ATF3	SYNGAP1
TFEB	SYNGAP1
MAZ	SYNGAP1
NR3C1	SYNGAP1
NFYA	SYNGAP1
PRDM1	SYNGAP1
ZIC2	SYNGAP1
ETS1	SYNGAP1
RFXANK	SYNGAP1
HSF1	SYNGAP1
HSF2	SYNGAP1
NR1H4	SYNGAP1
